order_item_id,order_id,product_id,quantity,selling_price
OI000001,ORD041658,PROD00315,3,221883
OI000002,ORD046604,PROD00220,3,212061
OI000003,ORD036449,PROD00946,1,56800
OI000004,ORD027184,PROD00361,1,77552
OI000005,ORD087277,PROD00268,3,246915
OI000006,ORD084387,PROD00611,2,189940
OI000007,ORD091804,PROD00191,4,376472
OI000008,ORD034007,PROD00255,1,39991
OI000009,ORD004165,PROD00330,3,146985
OI000010,ORD018885,PROD00838,4,167600
OI000011,ORD039487,PROD00342,4,151140
OI000012,ORD087228,PROD00490,1,93061
OI000013,ORD040686,PROD00625,4,223324
OI000014,ORD007147,PROD00926,4,238936
OI000015,ORD036204,PROD00820,4,6124
OI000016,ORD046917,PROD00470,2,39954
OI000017,ORD037038,PROD00891,1,97952
OI000018,ORD031658,PROD00616,2,172700
OI000019,ORD080154,PROD00230,3,222507
OI000020,ORD025183,PROD00218,3,193245
OI000021,ORD013515,PROD00226,3,169947
OI000022,ORD092416,PROD00787,2,50444
OI000023,ORD016391,PROD00890,2,151030
OI000024,ORD045820,PROD00523,4,39864
OI000025,ORD000602,PROD00510,2,127260
OI000026,ORD081155,PROD00408,1,68928
OI000027,ORD094018,PROD00755,1,16284
OI000028,ORD058582,PROD00002,4,149232
OI000029,ORD049011,PROD00823,1,92673
OI000030,ORD064871,PROD00443,3,178359
OI000031,ORD066527,PROD00604,1,28144
OI000032,ORD080098,PROD00395,2,18348
OI000033,ORD039963,PROD00345,3,33714
OI000034,ORD047485,PROD00760,4,239568
OI000035,ORD012653,PROD00837,2,99666
OI000036,ORD005883,PROD00603,2,113898
OI000037,ORD011505,PROD00173,3,231993
OI000038,ORD017541,PROD00399,2,83336
OI000039,ORD017746,PROD00276,1,10799
OI000040,ORD073535,PROD00453,3,211293
OI000041,ORD076004,PROD00519,3,283617
OI000042,ORD071926,PROD00175,4,64456
OI000043,ORD046358,PROD00630,4,186344
OI000044,ORD036918,PROD00050,4,375120
OI000045,ORD026262,PROD00730,3,234987
