order_id,customer_id,order_date,order_status
ORD000001,CUST42352,2024-06-06,Delivered
ORD000002,CUST27795,2025-07-18,Delivered
ORD000003,CUST28784,2024-08-04,Cancelled
ORD000004,CUST16999,2024-07-13,Returned
ORD000005,CUST13870,2024-05-10,Shipped
ORD000006,CUST44526,2025-11-11,Delivered
ORD000007,CUST28153,2024-11-07,Delivered
ORD000008,CUST20955,2024-05-09,Pending
ORD000009,CUST31556,2025-01-26,Delivered
ORD000010,CUST16655,2024-09-16,Delivered
ORD000011,CUST45027,2025-02-04,Returned
ORD000012,CUST35237,2025-09-17,Shipped
ORD000013,CUST46977,2024-03-25,Delivered
ORD000014,CUST15043,2024-10-28,Delivered
ORD000015,CUST25967,2024-03-28,Delivered
ORD000016,CUST48408,2025-10-14,Returned
ORD000017,CUST44315,2025-05-25,Delivered
ORD000018,CUST45096,2025-07-28,Delivered
ORD000019,CUST14271,2025-04-29,Shipped
ORD000020,CUST30909,2025-01-30,Delivered
ORD000021,CUST15524,2024-06-23,Delivered
ORD000022,CUST47069,2024-05-02,Delivered
ORD000023,CUST19992,2025-02-14,Delivered
ORD000024,CUST10776,2024-04-27,Delivered
ORD000025,CUST12266,2025-05-10,Delivered
ORD000026,CUST19460,2024-02-23,Shipped
ORD000027,CUST16674,2024-10-22,Delivered
ORD000028,CUST27057,2025-01-09,Delivered
ORD000029,CUST06615,2025-03-05,Delivered
ORD000030,CUST36021,2025-12-06,Delivered
ORD000031,CUST07416,2024-09-30,Delivered
ORD000032,CUST23156,2025-10-05,Delivered
ORD000033,CUST49431,2025-11-16,Delivered
ORD000034,CUST43885,2025-01-02,Delivered
ORD000035,CUST16965,2024-10-08,Delivered
ORD000036,CUST37727,2024-01-11,Returned
ORD000037,CUST37045,2024-07-04,Delivered
ORD000038,CUST37545,2024-06-01,Delivered
ORD000039,CUST49977,2024-10-10,Delivered
ORD000040,CUST32253,2025-11-21,Delivered
ORD000041,CUST03833,2024-01-21,Delivered
ORD000042,CUST25276,2025-04-03,Shipped
ORD000043,CUST14902,2024-03-30,Delivered
ORD000044,CUST38214,2024-02-19,Delivered
ORD000045,CUST34149,2025-12-01,Returned
ORD000046,CUST42634,2025-10-31,Delivered
ORD000047,CUST22919,2025-05-03,Delivered
ORD000048,CUST46695,2024-11-25,Delivered
ORD000049,CUST19541,2024-04-16,Delivered
ORD000050,CUST11581,2024-08-10,Delivered
ORD000051,CUST38403,2025-02-01,Delivered
ORD000052,CUST38579,2024-12-03,Delivered
ORD000053,CUST24918,2024-10-22,Shipped
ORD000054,CUST22319,2025-11-15,Pending
ORD000055,CUST10180,2025-08-06,Delivered
ORD000056,CUST12252,2025-08-20,Delivered
ORD000057,CUST45900,2024-02-15,Delivered
ORD000058,CUST19494,2024-05-27,Delivered
ORD000059,CUST20467,2025-10-10,Delivered
ORD000060,CUST30207,2024-09-20,Cancelled
ORD000061,CUST45476,2025-06-17,Shipped
ORD000062,CUST19625,2025-03-20,Delivered
ORD000063,CUST26565,2025-07-10,Delivered
ORD000064,CUST22413,2025-08-21,Shipped
ORD000065,CUST27991,2024-05-03,Delivered
ORD000066,CUST35518,2024-08-16,Pending
ORD000067,CUST13157,2024-01-25,Delivered
ORD000068,CUST23065,2024-02-02,Delivered
ORD000069,CUST25712,2024-01-31,Delivered
ORD000070,CUST30107,2024-06-25,Delivered
ORD000071,CUST16590,2024-07-21,Delivered
ORD000072,CUST23737,2024-10-03,Returned
ORD000073,CUST20976,2025-02-03,Delivered
ORD000074,CUST36219,2024-07-29,Delivered
ORD000075,CUST07215,2024-09-23,Delivered
ORD000076,CUST30582,2025-04-01,Delivered
ORD000077,CUST20196,2025-07-14,Delivered
ORD000078,CUST44583,2025-09-20,Delivered
ORD000079,CUST27128,2025-12-06,Delivered
ORD000080,CUST05142,2025-07-19,Shipped
ORD000081,CUST28885,2024-01-18,Shipped
ORD000082,CUST24886,2024-05-22,Returned
ORD000083,CUST02709,2026-01-02,Shipped
ORD000084,CUST18376,2025-08-14,Shipped
ORD000085,CUST15089,2024-12-01,Shipped
ORD000086,CUST44603,2024-05-25,Delivered
ORD000087,CUST45047,2025-07-07,Delivered
ORD000088,CUST10015,2025-11-09,Delivered
ORD000089,CUST03274,2025-02-20,Returned
ORD000090,CUST47136,2025-04-01,Delivered
ORD000091,CUST37307,2024-09-21,Delivered
ORD000092,CUST30882,2024-10-29,Returned
ORD000093,CUST31487,2025-05-25,Shipped
ORD000094,CUST12542,2025-07-03,Cancelled
ORD000095,CUST08713,2024-10-14,Shipped
ORD000096,CUST09169,2024-11-02,Delivered
ORD000097,CUST03552,2024-07-29,Delivered
ORD000098,CUST12298,2025-02-02,Delivered
ORD000099,CUST43734,2024-06-29,Pending
ORD000100,CUST27129,2024-06-20,Delivered
ORD000101,CUST02833,2025-09-27,Shipped
ORD000102,CUST28484,2025-01-30,Delivered
ORD000103,CUST22064,2025-04-23,Returned
ORD000104,CUST22964,2024-05-05,Delivered
ORD000105,CUST13423,2024-09-22,Delivered
ORD000106,CUST32921,2024-01-29,Delivered
ORD000107,CUST11157,2025-07-16,Delivered
ORD000108,CUST11109,2025-02-14,Shipped
ORD000109,CUST31846,2024-09-10,Delivered
ORD000110,CUST02801,2025-08-30,Cancelled
ORD000111,CUST38079,2025-07-31,Delivered
ORD000112,CUST42713,2024-04-16,Shipped
ORD000113,CUST02611,2024-02-23,Delivered
ORD000114,CUST12068,2024-11-22,Delivered
ORD000115,CUST33873,2024-07-06,Delivered
ORD000116,CUST10729,2025-02-06,Delivered
ORD000117,CUST29567,2024-07-23,Cancelled
ORD000118,CUST29784,2025-03-09,Delivered
ORD000119,CUST20584,2025-06-27,Delivered
ORD000120,CUST20239,2024-08-30,Delivered
ORD000121,CUST07264,2025-10-29,Delivered
ORD000122,CUST01915,2024-09-19,Shipped
ORD000123,CUST23750,2025-08-03,Delivered
ORD000124,CUST19457,2025-03-02,Delivered
ORD000125,CUST25583,2024-01-11,Delivered
ORD000126,CUST00407,2025-05-25,Cancelled
ORD000127,CUST13690,2024-12-14,Shipped
ORD000128,CUST32935,2025-01-27,Delivered
ORD000129,CUST33277,2024-07-02,Delivered
ORD000130,CUST36433,2024-02-28,Returned
ORD000131,CUST19874,2025-08-06,Delivered
ORD000132,CUST13051,2025-07-18,Delivered
ORD000133,CUST00681,2025-08-10,Delivered
ORD000134,CUST18909,2025-10-25,Delivered
ORD000135,CUST18505,2024-01-20,Shipped
ORD000136,CUST21645,2025-05-30,Delivered
ORD000137,CUST37126,2025-03-28,Delivered
ORD000138,CUST01364,2025-11-20,Delivered
ORD000139,CUST42292,2024-06-20,Delivered
ORD000140,CUST35061,2024-02-23,Delivered
ORD000141,CUST01539,2024-10-28,Delivered
ORD000142,CUST36177,2024-03-12,Pending
ORD000143,CUST41521,2024-07-23,Delivered
ORD000144,CUST25676,2024-10-22,Delivered
ORD000145,CUST18288,2025-06-06,Delivered
ORD000146,CUST00175,2024-03-05,Delivered
ORD000147,CUST26733,2024-09-24,Delivered
ORD000148,CUST34999,2024-04-13,Delivered
ORD000149,CUST37056,2024-08-27,Cancelled
ORD000150,CUST12113,2024-02-28,Delivered
ORD000151,CUST39875,2024-04-24,Delivered
ORD000152,CUST09690,2024-10-30,Delivered
ORD000153,CUST44815,2024-05-31,Delivered
ORD000154,CUST19556,2025-07-01,Delivered
ORD000155,CUST33920,2025-01-02,Cancelled
ORD000156,CUST07620,2025-10-07,Delivered
ORD000157,CUST06034,2024-09-06,Shipped
ORD000158,CUST41329,2025-08-13,Delivered
ORD000159,CUST04947,2025-11-12,Delivered
ORD000160,CUST24619,2025-09-06,Delivered
ORD000161,CUST34676,2024-06-04,Delivered
ORD000162,CUST36259,2024-11-28,Delivered
ORD000163,CUST18920,2024-10-26,Delivered
ORD000164,CUST04174,2024-09-11,Delivered
ORD000165,CUST43834,2025-02-27,Delivered
ORD000166,CUST26401,2025-11-01,Delivered
ORD000167,CUST04770,2025-04-27,Delivered
ORD000168,CUST37565,2025-03-14,Pending
ORD000169,CUST45815,2024-10-24,Shipped
ORD000170,CUST14212,2024-11-11,Delivered
ORD000171,CUST23256,2025-10-25,Shipped
ORD000172,CUST27963,2024-07-25,Delivered
ORD000173,CUST19357,2024-06-04,Delivered
ORD000174,CUST20307,2025-12-28,Delivered
ORD000175,CUST04998,2025-08-30,Shipped
ORD000176,CUST17377,2025-04-21,Delivered
ORD000177,CUST40881,2024-06-19,Delivered
ORD000178,CUST38056,2024-07-03,Delivered
ORD000179,CUST10579,2025-07-15,Returned
ORD000180,CUST18625,2024-09-15,Cancelled
ORD000181,CUST39195,2025-12-14,Returned
ORD000182,CUST44368,2024-03-04,Delivered
ORD000183,CUST00390,2025-04-17,Delivered
ORD000184,CUST33768,2024-07-08,Delivered
ORD000185,CUST45581,2025-10-20,Delivered
ORD000186,CUST48368,2025-09-15,Delivered
ORD000187,CUST01856,2025-06-03,Delivered
ORD000188,CUST40894,2024-05-01,Pending
ORD000189,CUST13795,2025-12-26,Delivered
ORD000190,CUST35532,2024-05-07,Delivered
ORD000191,CUST04987,2025-04-18,Delivered
ORD000192,CUST32299,2025-12-16,Delivered
ORD000193,CUST01482,2024-03-31,Delivered
ORD000194,CUST03732,2025-08-18,Pending
ORD000195,CUST16836,2024-08-03,Shipped
ORD000196,CUST27799,2025-12-03,Delivered
ORD000197,CUST26114,2024-12-26,Delivered
ORD000198,CUST19478,2025-10-03,Cancelled
ORD000199,CUST17267,2025-11-15,Delivered
ORD000200,CUST20793,2025-09-28,Shipped
ORD000201,CUST20453,2024-03-15,Shipped
ORD000202,CUST43527,2024-05-27,Shipped
ORD000203,CUST49080,2025-05-15,Delivered
ORD000204,CUST41335,2025-07-23,Delivered
ORD000205,CUST11890,2024-03-20,Delivered
ORD000206,CUST24336,2024-09-12,Delivered
ORD000207,CUST11255,2025-01-05,Returned
ORD000208,CUST21075,2025-05-09,Shipped
ORD000209,CUST11443,2024-01-13,Delivered
ORD000210,CUST46290,2024-08-15,Delivered
ORD000211,CUST37328,2025-11-10,Delivered
ORD000212,CUST16200,2025-02-28,Delivered
ORD000213,CUST07292,2025-03-12,Delivered
ORD000214,CUST40929,2024-03-22,Delivered
ORD000215,CUST00113,2025-07-01,Delivered
ORD000216,CUST21516,2024-05-20,Delivered
ORD000217,CUST19582,2024-05-08,Cancelled
ORD000218,CUST48693,2025-08-02,Delivered
ORD000219,CUST26501,2024-06-05,Delivered
ORD000220,CUST32027,2025-02-08,Shipped
ORD000221,CUST16524,2025-03-25,Delivered
ORD000222,CUST01425,2025-06-12,Shipped
ORD000223,CUST19553,2025-09-25,Delivered
ORD000224,CUST10809,2024-12-25,Delivered
ORD000225,CUST38812,2025-11-12,Delivered
ORD000226,CUST06990,2024-12-31,Delivered
ORD000227,CUST23621,2024-08-01,Cancelled
ORD000228,CUST39030,2025-04-07,Delivered
ORD000229,CUST00888,2025-08-16,Delivered
ORD000230,CUST31803,2024-07-07,Delivered
ORD000231,CUST19489,2024-09-14,Delivered
ORD000232,CUST30014,2025-01-12,Delivered
ORD000233,CUST49202,2024-11-10,Delivered
ORD000234,CUST16403,2024-07-18,Delivered
ORD000235,CUST21206,2024-10-30,Delivered
ORD000236,CUST26050,2025-08-30,Delivered
ORD000237,CUST12254,2025-07-20,Delivered
ORD000238,CUST18991,2025-09-30,Delivered
ORD000239,CUST07847,2025-06-05,Shipped
ORD000240,CUST25028,2024-04-03,Returned
ORD000241,CUST39201,2025-05-29,Delivered
ORD000242,CUST46221,2025-04-07,Delivered
ORD000243,CUST46164,2024-07-28,Delivered
ORD000244,CUST03766,2025-07-01,Shipped
ORD000245,CUST15951,2025-09-15,Shipped
ORD000246,CUST45271,2025-05-26,Shipped
ORD000247,CUST09742,2025-06-18,Delivered
ORD000248,CUST22743,2025-04-14,Delivered
ORD000249,CUST24704,2025-11-18,Delivered
ORD000250,CUST38710,2025-02-24,Delivered
ORD000251,CUST37624,2025-12-01,Delivered
ORD000252,CUST22932,2024-08-04,Delivered
ORD000253,CUST23581,2025-09-25,Returned
ORD000254,CUST15167,2025-05-18,Pending
ORD000255,CUST29241,2025-06-20,Delivered
ORD000256,CUST25992,2025-11-26,Shipped
ORD000257,CUST38557,2025-02-11,Returned
ORD000258,CUST32970,2024-12-16,Delivered
ORD000259,CUST10562,2024-05-25,Delivered
ORD000260,CUST16902,2024-03-23,Returned
ORD000261,CUST40506,2024-04-12,Delivered
ORD000262,CUST30021,2025-03-30,Shipped
ORD000263,CUST25918,2025-05-16,Delivered
ORD000264,CUST01989,2024-08-01,Delivered
ORD000265,CUST48210,2024-07-19,Delivered
ORD000266,CUST44506,2025-07-28,Delivered
ORD000267,CUST14257,2024-06-22,Shipped
ORD000268,CUST22193,2024-08-30,Delivered
ORD000269,CUST28231,2024-03-12,Delivered
ORD000270,CUST39931,2025-10-31,Shipped
ORD000271,CUST45834,2025-01-18,Returned
ORD000272,CUST22626,2025-03-13,Shipped
ORD000273,CUST32089,2024-01-29,Delivered
ORD000274,CUST14115,2025-12-15,Shipped
ORD000275,CUST41168,2024-03-23,Delivered
ORD000276,CUST38402,2025-10-01,Delivered
ORD000277,CUST05756,2024-11-21,Delivered
ORD000278,CUST10826,2025-09-19,Delivered
ORD000279,CUST22694,2025-08-13,Delivered
ORD000280,CUST04118,2024-12-02,Delivered
ORD000281,CUST24730,2025-04-24,Delivered
ORD000282,CUST32183,2024-07-13,Delivered
ORD000283,CUST28891,2025-11-11,Delivered
ORD000284,CUST29341,2024-08-11,Delivered
ORD000285,CUST01519,2025-09-26,Shipped
ORD000286,CUST30950,2024-06-27,Delivered
ORD000287,CUST22548,2025-11-04,Delivered
ORD000288,CUST16347,2024-08-29,Delivered
ORD000289,CUST02601,2024-12-14,Delivered
ORD000290,CUST46006,2025-10-29,Delivered
ORD000291,CUST29268,2025-12-07,Delivered
ORD000292,CUST36323,2025-12-19,Pending
ORD000293,CUST26991,2024-01-09,Returned
ORD000294,CUST16194,2025-10-25,Pending
ORD000295,CUST30110,2025-01-12,Delivered
ORD000296,CUST19234,2025-01-13,Shipped
ORD000297,CUST48022,2025-11-22,Delivered
ORD000298,CUST16195,2024-01-15,Cancelled
ORD000299,CUST34511,2024-04-18,Returned
ORD000300,CUST01307,2024-08-24,Delivered
ORD000301,CUST03850,2025-06-19,Delivered
ORD000302,CUST12361,2025-05-31,Delivered
ORD000303,CUST45537,2024-05-18,Shipped
ORD000304,CUST29232,2025-09-30,Delivered
ORD000305,CUST45801,2025-03-20,Delivered
ORD000306,CUST36964,2025-02-11,Shipped
ORD000307,CUST18690,2025-02-22,Shipped
ORD000308,CUST29085,2024-04-25,Returned
ORD000309,CUST40388,2024-11-30,Delivered
ORD000310,CUST09281,2025-04-16,Delivered
ORD000311,CUST02643,2024-11-27,Returned
ORD000312,CUST42138,2024-09-28,Delivered
ORD000313,CUST14297,2025-06-28,Delivered
ORD000314,CUST15439,2024-10-24,Returned
ORD000315,CUST48443,2024-07-18,Cancelled
ORD000316,CUST37526,2025-06-09,Delivered
ORD000317,CUST02995,2026-01-01,Delivered
ORD000318,CUST47995,2025-03-04,Returned
ORD000319,CUST34040,2024-06-15,Delivered
ORD000320,CUST01814,2024-10-30,Delivered
ORD000321,CUST27492,2024-12-27,Returned
ORD000322,CUST18846,2024-10-16,Delivered
ORD000323,CUST41244,2024-02-24,Delivered
ORD000324,CUST37165,2024-12-16,Delivered
ORD000325,CUST42052,2024-03-21,Delivered
ORD000326,CUST13319,2024-04-26,Delivered
ORD000327,CUST17201,2025-09-30,Shipped
ORD000328,CUST00083,2024-09-28,Delivered
ORD000329,CUST01921,2024-11-21,Delivered
ORD000330,CUST40586,2024-05-13,Delivered
ORD000331,CUST11684,2025-11-20,Delivered
ORD000332,CUST11337,2024-09-28,Cancelled
ORD000333,CUST15597,2025-06-26,Delivered
ORD000334,CUST02094,2024-05-23,Shipped
ORD000335,CUST12906,2025-12-11,Delivered
ORD000336,CUST24352,2025-07-18,Delivered
ORD000337,CUST30982,2024-09-17,Delivered
ORD000338,CUST08368,2024-07-23,Cancelled
ORD000339,CUST05286,2025-05-09,Delivered
ORD000340,CUST43665,2025-08-07,Delivered
ORD000341,CUST37706,2025-06-05,Delivered
ORD000342,CUST16754,2025-03-27,Pending
ORD000343,CUST18486,2024-04-14,Shipped
ORD000344,CUST12978,2025-01-13,Delivered
ORD000345,CUST19875,2024-01-11,Delivered
ORD000346,CUST07675,2024-04-23,Delivered
ORD000347,CUST29039,2025-05-18,Pending
ORD000348,CUST29316,2024-03-29,Shipped
ORD000349,CUST03677,2025-07-20,Delivered
ORD000350,CUST02427,2025-06-19,Pending
ORD000351,CUST24474,2024-05-28,Delivered
ORD000352,CUST02963,2024-06-03,Delivered
ORD000353,CUST29944,2024-09-23,Cancelled
ORD000354,CUST00860,2024-09-23,Delivered
ORD000355,CUST44817,2025-06-12,Pending
ORD000356,CUST04139,2025-07-10,Delivered
ORD000357,CUST35193,2024-05-27,Delivered
ORD000358,CUST25641,2025-08-22,Delivered
ORD000359,CUST10410,2024-11-13,Shipped
ORD000360,CUST04018,2025-12-20,Delivered
ORD000361,CUST10452,2024-08-14,Delivered
ORD000362,CUST28328,2024-09-08,Delivered
ORD000363,CUST10279,2025-01-25,Delivered
ORD000364,CUST24945,2025-10-02,Delivered
ORD000365,CUST43765,2025-06-14,Delivered
ORD000366,CUST01135,2024-04-13,Delivered
ORD000367,CUST30132,2024-12-29,Delivered
ORD000368,CUST37888,2025-04-09,Delivered
ORD000369,CUST38463,2024-09-10,Delivered
ORD000370,CUST22521,2025-02-14,Delivered
ORD000371,CUST21870,2025-11-18,Delivered
ORD000372,CUST36933,2025-06-25,Shipped
ORD000373,CUST05040,2025-09-08,Delivered
ORD000374,CUST21282,2024-06-06,Shipped
ORD000375,CUST47400,2024-07-10,Shipped
ORD000376,CUST10443,2024-02-06,Pending
ORD000377,CUST08253,2024-08-16,Cancelled
ORD000378,CUST27587,2025-06-25,Delivered
ORD000379,CUST17569,2025-10-26,Delivered
ORD000380,CUST20811,2024-03-19,Delivered
ORD000381,CUST01552,2025-12-07,Shipped
ORD000382,CUST12626,2024-03-23,Delivered
ORD000383,CUST34398,2025-01-21,Cancelled
ORD000384,CUST26250,2025-09-29,Delivered
ORD000385,CUST01362,2024-12-27,Shipped
ORD000386,CUST26150,2025-09-19,Cancelled
ORD000387,CUST04371,2024-09-30,Delivered
ORD000388,CUST05284,2024-11-01,Shipped
ORD000389,CUST07611,2025-09-01,Delivered
ORD000390,CUST43327,2025-03-02,Shipped
ORD000391,CUST14925,2025-01-12,Returned
ORD000392,CUST47608,2024-03-03,Returned
ORD000393,CUST44718,2024-02-09,Delivered
ORD000394,CUST10627,2025-04-28,Delivered
ORD000395,CUST34762,2025-05-09,Shipped
ORD000396,CUST00870,2024-05-29,Cancelled
ORD000397,CUST31553,2024-08-09,Delivered
ORD000398,CUST01015,2025-12-06,Delivered
ORD000399,CUST10104,2025-12-30,Delivered
ORD000400,CUST16987,2025-12-15,Delivered
ORD000401,CUST44782,2025-06-16,Shipped
ORD000402,CUST30472,2024-09-18,Delivered
ORD000403,CUST33459,2024-07-28,Delivered
ORD000404,CUST25070,2025-08-01,Pending
ORD000405,CUST16874,2025-10-17,Delivered
ORD000406,CUST23249,2024-07-16,Delivered
ORD000407,CUST23625,2024-02-01,Delivered
ORD000408,CUST43517,2024-02-29,Delivered
ORD000409,CUST29062,2024-01-22,Delivered
ORD000410,CUST24171,2025-01-19,Shipped
ORD000411,CUST08025,2025-11-24,Delivered
ORD000412,CUST16679,2024-08-25,Delivered
ORD000413,CUST38257,2025-03-24,Shipped
ORD000414,CUST20412,2024-09-04,Pending
ORD000415,CUST43804,2024-04-12,Delivered
ORD000416,CUST19297,2025-02-19,Delivered
ORD000417,CUST26294,2024-03-31,Cancelled
ORD000418,CUST27173,2025-08-31,Delivered
ORD000419,CUST21129,2024-05-20,Delivered
ORD000420,CUST18258,2024-03-01,Delivered
ORD000421,CUST12856,2024-06-03,Cancelled
ORD000422,CUST19643,2024-06-05,Pending
ORD000423,CUST35586,2024-11-26,Delivered
ORD000424,CUST20026,2024-06-20,Delivered
ORD000425,CUST04459,2024-11-06,Shipped
ORD000426,CUST05308,2025-10-30,Delivered
ORD000427,CUST41702,2025-06-25,Cancelled
ORD000428,CUST18426,2025-12-31,Delivered
ORD000429,CUST49832,2024-10-04,Delivered
ORD000430,CUST43428,2024-06-30,Delivered
ORD000431,CUST28274,2024-01-26,Delivered
ORD000432,CUST38507,2025-12-02,Delivered
ORD000433,CUST05669,2025-08-23,Delivered
ORD000434,CUST25935,2025-06-01,Delivered
ORD000435,CUST47196,2024-10-10,Delivered
ORD000436,CUST07698,2024-02-04,Delivered
ORD000437,CUST24418,2024-06-10,Delivered
ORD000438,CUST16447,2024-03-10,Delivered
ORD000439,CUST40598,2025-12-11,Delivered
ORD000440,CUST10752,2025-07-25,Shipped
ORD000441,CUST46219,2025-03-11,Returned
ORD000442,CUST07353,2024-05-16,Delivered
ORD000443,CUST13517,2024-10-25,Delivered
ORD000444,CUST23300,2024-02-09,Delivered
ORD000445,CUST31958,2025-10-24,Delivered
ORD000446,CUST28928,2025-06-27,Pending
ORD000447,CUST41095,2025-06-05,Cancelled
ORD000448,CUST36413,2024-02-21,Delivered
ORD000449,CUST29494,2025-09-23,Delivered
ORD000450,CUST26712,2024-02-10,Delivered
ORD000451,CUST08004,2025-12-10,Delivered
ORD000452,CUST31708,2024-01-31,Delivered
ORD000453,CUST03279,2024-10-04,Shipped
ORD000454,CUST07297,2025-11-09,Delivered
ORD000455,CUST25399,2024-06-06,Cancelled
ORD000456,CUST35843,2025-07-27,Returned
ORD000457,CUST13262,2024-03-30,Delivered
ORD000458,CUST11174,2024-04-06,Delivered
ORD000459,CUST30450,2025-03-26,Returned
ORD000460,CUST41081,2025-07-06,Delivered
ORD000461,CUST01638,2024-07-17,Delivered
ORD000462,CUST31782,2025-05-29,Shipped
ORD000463,CUST13653,2024-09-15,Delivered
ORD000464,CUST05104,2024-03-22,Delivered
ORD000465,CUST25501,2024-09-21,Delivered
ORD000466,CUST49797,2024-03-28,Returned
ORD000467,CUST34801,2025-07-17,Shipped
ORD000468,CUST35530,2024-09-11,Delivered
ORD000469,CUST47964,2025-05-17,Delivered
ORD000470,CUST18453,2025-06-20,Delivered
ORD000471,CUST49394,2024-03-06,Returned
ORD000472,CUST31175,2024-11-15,Cancelled
ORD000473,CUST35437,2024-06-29,Delivered
ORD000474,CUST47407,2025-04-09,Returned
ORD000475,CUST15955,2024-01-21,Returned
ORD000476,CUST17187,2025-06-15,Delivered
ORD000477,CUST12357,2024-08-10,Pending
ORD000478,CUST32964,2025-05-27,Delivered
ORD000479,CUST02188,2025-03-15,Cancelled
ORD000480,CUST11708,2025-10-20,Delivered
ORD000481,CUST35099,2025-08-17,Delivered
ORD000482,CUST26936,2025-05-14,Returned
ORD000483,CUST21226,2024-02-24,Delivered
ORD000484,CUST03607,2024-06-15,Shipped
ORD000485,CUST32829,2025-09-27,Delivered
ORD000486,CUST26490,2024-12-24,Delivered
ORD000487,CUST14388,2025-11-29,Delivered
ORD000488,CUST03928,2024-09-22,Delivered
ORD000489,CUST06297,2025-02-24,Delivered
ORD000490,CUST30445,2024-08-03,Delivered
ORD000491,CUST46391,2025-10-17,Delivered
ORD000492,CUST46894,2025-11-05,Delivered
ORD000493,CUST02592,2024-01-30,Delivered
ORD000494,CUST44896,2024-08-20,Delivered
ORD000495,CUST48517,2025-01-20,Delivered
ORD000496,CUST26148,2024-06-15,Delivered
ORD000497,CUST38890,2025-05-13,Delivered
ORD000498,CUST01201,2025-10-20,Delivered
ORD000499,CUST15722,2025-01-01,Shipped
ORD000500,CUST19239,2025-11-26,Delivered
ORD000501,CUST11088,2024-11-07,Returned
ORD000502,CUST30817,2025-11-03,Pending
ORD000503,CUST23409,2024-04-04,Shipped
ORD000504,CUST39741,2025-08-12,Delivered
ORD000505,CUST00137,2024-11-16,Delivered
ORD000506,CUST17414,2024-03-19,Shipped
ORD000507,CUST48115,2025-12-03,Delivered
ORD000508,CUST18979,2024-06-25,Delivered
ORD000509,CUST00662,2025-08-02,Returned
ORD000510,CUST35241,2025-07-23,Delivered
ORD000511,CUST27254,2024-08-20,Delivered
ORD000512,CUST26885,2024-04-14,Pending
ORD000513,CUST32855,2024-02-23,Cancelled
ORD000514,CUST10705,2024-10-22,Delivered
ORD000515,CUST38988,2024-03-23,Delivered
ORD000516,CUST24528,2025-09-30,Delivered
ORD000517,CUST16323,2025-06-01,Cancelled
