payment_id,order_id,payment_method,payment_status,amount
PAY000001,ORD000001,Net Banking,Failed,332949.0
PAY000002,ORD000002,Net Banking,Completed,474055.0
PAY000003,ORD000003,UPI,Completed,79157.0
PAY000004,ORD000004,Debit Card,Completed,473750.0
PAY000005,ORD000005,UPI,Completed,19491.0
PAY000006,ORD000006,Net Banking,Completed,479381.0
PAY000007,ORD000007,Net Banking,Completed,201799.0
PAY000008,ORD000008,Debit Card,Completed,45538.0
PAY000009,ORD000009,Credit Card,Pending,294906.0
PAY000010,ORD000010,UPI,Completed,116209.0
PAY000011,ORD000011,Net Banking,Completed,375359.0
PAY000012,ORD000012,Credit Card,Completed,547730.0
PAY000013,ORD000013,Credit Card,Completed,307208.0
PAY000014,ORD000014,Net Banking,Completed,388069.0
PAY000015,ORD000015,UPI,Completed,
PAY000016,ORD000016,Net Banking,Completed,35064.0
PAY000017,ORD000017,UPI,Completed,316995.0
PAY000018,ORD000018,Debit Card,Completed,179178.0
PAY000019,ORD000019,Net Banking,Completed,12642.0
PAY000020,ORD000020,Debit Card,Completed,580966.0
PAY000021,ORD000021,UPI,Completed,190326.0
PAY000022,ORD000022,Debit Card,Completed,113480.0
PAY000023,ORD000023,Debit Card,Completed,193437.0
PAY000024,ORD000024,Credit Card,Pending,404448.0
PAY000025,ORD000025,Credit Card,Completed,
PAY000026,ORD000026,UPI,Failed,158513.0
PAY000027,ORD000027,Credit Card,Failed,128100.0
PAY000028,ORD000028,Debit Card,Completed,
PAY000029,ORD000029,UPI,Failed,542443.0
PAY000030,ORD000030,Credit Card,Completed,89918.0
PAY000031,ORD000031,Wallet,Completed,
PAY000032,ORD000032,Wallet,Failed,319404.0
PAY000033,ORD000033,UPI,Failed,433767.0
PAY000034,ORD000034,Net Banking,Completed,231578.0
PAY000035,ORD000035,Net Banking,Completed,591009.0
PAY000036,ORD000036,Debit Card,Completed,122897.0
PAY000037,ORD000037,Debit Card,Completed,283862.0
PAY000038,ORD000038,Debit Card,Completed,323656.0
PAY000039,ORD000039,UPI,Completed,35302.0
PAY000040,ORD000040,Net Banking,Completed,41928.0
PAY000041,ORD000041,Credit Card,Completed,101380.0
PAY000042,ORD000042,Debit Card,Completed,625666.0
PAY000043,ORD000043,Debit Card,Completed,485180.0
PAY000044,ORD000044,Net Banking,Completed,119946.0
PAY000045,ORD000045,Wallet,Pending,36827.0
PAY000046,ORD000046,Wallet,Completed,193737.0
PAY000047,ORD000047,Net Banking,Completed,68719.0
PAY000048,ORD000048,Credit Card,Pending,78140.0
PAY000049,ORD000049,Credit Card,Completed,
PAY000050,ORD000050,Credit Card,Completed,3524.0
PAY000051,ORD000051,UPI,Completed,283719.0
PAY000052,ORD000052,Credit Card,Completed,94352.0
PAY000053,ORD000053,Wallet,Completed,
PAY000054,ORD000054,Debit Card,Completed,282354.0
PAY000055,ORD000055,Debit Card,Completed,
PAY000056,ORD000056,Net Banking,Completed,149563.0
PAY000057,ORD000057,Net Banking,Failed,232380.0
PAY000058,ORD000058,Wallet,Completed,84842.0
PAY000059,ORD000059,Debit Card,Completed,216494.0
PAY000060,ORD000060,Debit Card,Failed,836485.0
PAY000061,ORD000061,Credit Card,Completed,75488.0
