order_id,customer_id,order_date,order_status
ORD000001,CUST42352,06-06-2024,Delivered
ORD000002,CUST27795,18-07-2025,Delivered
ORD000003,CUST28784,04-08-2024,Cancelled
ORD000004,CUST16999,13-07-2024,Returned
ORD000005,CUST13870,10-05-2024,Shipped
ORD000006,CUST44526,11-11-2025,Delivered
ORD000007,CUST28153,07-11-2024,Delivered
ORD000008,CUST20955,09-05-2024,Pending
ORD000009,CUST31556,26-01-2025,Delivered
ORD000010,CUST16655,16-09-2024,Delivered
ORD000011,CUST45027,04-02-2025,Returned
ORD000012,CUST35237,17-09-2025,Shipped
ORD000013,CUST46977,25-03-2024,Delivered
ORD000014,CUST15043,28-10-2024,Delivered
ORD000015,CUST25967,28-03-2024,Delivered
ORD000016,CUST48408,14-10-2025,Returned
ORD000017,CUST44315,25-05-2025,Delivered
ORD000018,CUST45096,28-07-2025,Delivered
ORD000019,CUST14271,29-04-2025,Shipped
ORD000020,CUST30909,30-01-2025,Delivered
ORD000021,CUST15524,23-06-2024,Delivered
ORD000022,CUST47069,02-05-2024,Delivered
ORD000023,CUST19992,14-02-2025,Delivered
ORD000024,CUST10776,27-04-2024,Delivered
ORD000025,CUST12266,10-05-2025,Delivered
ORD000026,CUST19460,23-02-2024,Shipped
ORD000027,CUST16674,22-10-2024,Delivered
ORD000028,CUST27057,09-01-2025,Delivered
ORD000029,CUST06615,05-03-2025,Delivered
ORD000030,CUST36021,06-12-2025,Delivered
ORD000031,CUST07416,30-09-2024,Delivered
ORD000032,CUST23156,05-10-2025,Delivered
ORD000033,CUST49431,16-11-2025,Delivered
ORD000034,CUST43885,02-01-2025,Delivered
ORD000035,CUST16965,08-10-2024,Delivered
ORD000036,CUST37727,11-01-2024,Returned
ORD000037,CUST37045,04-07-2024,Delivered
ORD000038,CUST37545,01-06-2024,Delivered
ORD000039,CUST49977,10-10-2024,Delivered
ORD000040,CUST32253,21-11-2025,Delivered
ORD000041,CUST03833,21-01-2024,Delivered
ORD000042,CUST25276,03-04-2025,Shipped
ORD000043,CUST14902,30-03-2024,Delivered
ORD000044,CUST38214,19-02-2024,Delivered
ORD000045,CUST34149,01-12-2025,Returned
ORD000046,CUST42634,31-10-2025,Delivered
ORD000047,CUST22919,03-05-2025,Delivered
ORD000048,CUST46695,25-11-2024,Delivered
ORD000049,CUST19541,16-04-2024,Delivered
ORD000050,CUST11581,10-08-2024,Delivered
ORD000051,CUST38403,01-02-2025,Delivered
ORD000052,CUST38579,03-12-2024,Delivered
ORD000053,CUST24918,22-10-2024,Shipped
ORD000054,CUST22319,15-11-2025,Pending
ORD000055,CUST10180,06-08-2025,Delivered
ORD000056,CUST12252,20-08-2025,Delivered
ORD000057,CUST45900,15-02-2024,Delivered
ORD000058,CUST19494,27-05-2024,Delivered
ORD000059,CUST20467,10-10-2025,Delivered
ORD000060,CUST30207,20-09-2024,Cancelled
ORD000061,CUST45476,17-06-2025,Shipped
ORD000062,CUST19625,20-03-2025,Delivered
ORD000063,CUST26565,10-07-2025,Delivered
ORD000064,CUST22413,21-08-2025,Shipped
ORD000065,CUST27991,03-05-2024,Delivered
ORD000066,CUST35518,16-08-2024,Pending
ORD000067,CUST13157,25-01-2024,Delivered
ORD000068,CUST23065,02-02-2024,Delivered
ORD000069,CUST25712,31-01-2024,Delivered
ORD000070,CUST30107,25-06-2024,Delivered
ORD000071,CUST16590,21-07-2024,Delivered
ORD000072,CUST23737,03-10-2024,Returned
ORD000073,CUST20976,03-02-2025,Delivered
ORD000074,CUST36219,29-07-2024,Delivered
ORD000075,CUST07215,23-09-2024,Delivered
ORD000076,CUST30582,01-04-2025,Delivered
ORD000077,CUST20196,14-07-2025,Delivered
ORD000078,CUST44583,20-09-2025,Delivered
ORD000079,CUST27128,06-12-2025,Delivered
ORD000080,CUST05142,19-07-2025,Shipped
ORD000081,CUST28885,18-01-2024,Shipped
ORD000082,CUST24886,22-05-2024,Returned
ORD000083,CUST02709,02-01-2026,Shipped
ORD000084,CUST18376,14-08-2025,Shipped
ORD000085,CUST15089,01-12-2024,Shipped
ORD000086,CUST44603,25-05-2024,Delivered
ORD000087,CUST45047,07-07-2025,Delivered
ORD000088,CUST10015,09-11-2025,Delivered
ORD000089,CUST03274,20-02-2025,Returned
ORD000090,CUST47136,01-04-2025,Delivered
ORD000091,CUST37307,21-09-2024,Delivered
ORD000092,CUST30882,29-10-2024,Returned
ORD000093,CUST31487,25-05-2025,Shipped
ORD000094,CUST12542,03-07-2025,Cancelled
ORD000095,CUST08713,14-10-2024,Shipped
ORD000096,CUST09169,02-11-2024,Delivered
ORD000097,CUST03552,29-07-2024,Delivered
ORD000098,CUST12298,02-02-2025,Delivered
ORD000099,CUST43734,29-06-2024,Pending
ORD000100,CUST27129,20-06-2024,Delivered
ORD000101,CUST02833,27-09-2025,Shipped
ORD000102,CUST28484,30-01-2025,Delivered
ORD000103,CUST22064,23-04-2025,Returned
ORD000104,CUST22964,05-05-2024,Delivered
ORD000105,CUST13423,22-09-2024,Delivered
ORD000106,CUST32921,29-01-2024,Delivered
ORD000107,CUST11157,16-07-2025,Delivered
ORD000108,CUST11109,14-02-2025,Shipped
ORD000109,CUST31846,10-09-2024,Delivered
ORD000110,CUST02801,30-08-2025,Cancelled
ORD000111,CUST38079,31-07-2025,Delivered
ORD000112,CUST42713,16-04-2024,Shipped
ORD000113,CUST02611,23-02-2024,Delivered
ORD000114,CUST12068,22-11-2024,Delivered
ORD000115,CUST33873,06-07-2024,Delivered
ORD000116,CUST10729,06-02-2025,Delivered
ORD000117,CUST29567,23-07-2024,Cancelled
ORD000118,CUST29784,09-03-2025,Delivered
ORD000119,CUST20584,27-06-2025,Delivered
ORD000120,CUST20239,30-08-2024,Delivered
ORD000121,CUST07264,29-10-2025,Delivered
ORD000122,CUST01915,19-09-2024,Shipped
ORD000123,CUST23750,03-08-2025,Delivered
ORD000124,CUST19457,02-03-2025,Delivered
ORD000125,CUST25583,11-01-2024,Delivered
ORD000126,CUST00407,25-05-2025,Cancelled
ORD000127,CUST13690,14-12-2024,Shipped
ORD000128,CUST32935,27-01-2025,Delivered
ORD000129,CUST33277,02-07-2024,Delivered
ORD000130,CUST36433,28-02-2024,Returned
ORD000131,CUST19874,06-08-2025,Delivered
ORD000132,CUST13051,18-07-2025,Delivered
ORD000133,CUST00681,10-08-2025,Delivered
ORD000134,CUST18909,25-10-2025,Delivered
ORD000135,CUST18505,20-01-2024,Shipped
ORD000136,CUST21645,30-05-2025,Delivered
ORD000137,CUST37126,28-03-2025,Delivered
ORD000138,CUST01364,20-11-2025,Delivered
ORD000139,CUST42292,20-06-2024,Delivered
ORD000140,CUST35061,23-02-2024,Delivered
ORD000141,CUST01539,28-10-2024,Delivered
ORD000142,CUST36177,12-03-2024,Pending
ORD000143,CUST41521,23-07-2024,Delivered
ORD000144,CUST25676,22-10-2024,Delivered
ORD000145,CUST18288,06-06-2025,Delivered
ORD000146,CUST00175,05-03-2024,Delivered
ORD000147,CUST26733,24-09-2024,Delivered
ORD000148,CUST34999,13-04-2024,Delivered
ORD000149,CUST37056,27-08-2024,Cancelled
ORD000150,CUST12113,28-02-2024,Delivered
ORD000151,CUST39875,24-04-2024,Delivered
ORD000152,CUST09690,30-10-2024,Delivered
ORD000153,CUST44815,31-05-2024,Delivered
ORD000154,CUST19556,01-07-2025,Delivered
ORD000155,CUST33920,02-01-2025,Cancelled
